,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-14,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-03-15,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-16,2,1,0,0,1,1,1,1,0,0,0,0.0
2020-03-17,6,1,0,0,5,5,4,0,0,0,4,4.0
2020-03-18,6,1,0,0,5,5,0,0,0,0,0,0.0
2020-03-19,9,1,0,0,8,8,3,0,0,0,3,3.0
2020-03-20,12,1,0,0,11,11,3,0,0,0,3,3.0
2020-03-21,17,1,0,0,16,16,5,0,0,0,5,5.0
2020-03-22,19,1,0,0,18,18,2,0,0,0,2,2.0
2020-03-23,20,1,0,0,19,19,1,0,0,0,1,1.0
2020-03-24,21,1,0,0,20,20,1,0,0,0,1,1.0
2020-03-25,24,1,4,0,23,19,3,0,4,0,3,-1.0
2020-03-26,25,1,4,0,24,20,1,0,0,0,1,1.0
2020-03-27,28,1,4,0,27,23,3,0,0,0,3,3.0
2020-03-28,34,1,10,0,33,23,6,0,6,0,6,0.0
