,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-05,4,0,0,0,4,4,4,0,0,0,4,4.0
2020-03-06,7,0,0,0,7,7,3,0,0,0,3,3.0
2020-03-07,16,0,0,0,16,16,9,0,0,0,9,9.0
2020-03-08,16,0,0,0,16,16,0,0,0,0,0,0.0
2020-03-09,19,0,0,0,19,19,3,0,0,0,3,3.0
2020-03-10,26,0,0,0,26,26,7,0,0,0,7,7.0
2020-03-11,30,0,0,0,30,30,4,0,0,0,4,4.0
2020-03-12,30,0,0,0,30,30,0,0,0,0,0,0.0
2020-03-13,31,0,0,0,31,31,1,0,0,0,1,1.0
2020-03-14,35,0,0,0,35,35,4,0,0,0,4,4.0
2020-03-15,38,0,0,0,38,38,3,0,0,0,3,3.0
2020-03-16,38,0,0,0,38,38,0,0,0,0,0,0.0
2020-03-17,39,0,0,0,39,39,1,0,0,0,1,1.0
2020-03-18,41,0,0,0,41,41,2,0,0,0,2,2.0
2020-03-19,44,0,0,0,44,44,3,0,0,0,3,3.0
2020-03-20,47,0,17,0,47,30,3,0,17,0,3,-14.0
2020-03-21,48,0,17,0,48,31,1,0,0,0,1,1.0
2020-03-22,52,0,17,1,51,35,4,0,0,1,3,4.0
2020-03-23,59,0,17,2,57,42,7,0,0,1,6,7.0
2020-03-24,59,0,17,3,56,42,0,0,0,1,-1,0.0
2020-03-25,59,0,17,4,55,42,0,0,0,1,-1,0.0
2020-03-26,84,1,17,5,78,66,25,1,0,1,23,24.0
2020-03-27,91,1,17,6,84,73,7,0,0,1,6,7.0
2020-03-28,98,1,18,7,90,79,7,0,1,1,6,6.0
